coachId,coachName,lineNumber,line
ristretto,Ristretto,1,"¡Vamos, capitán! Elige una esquina como meta y llega con pecho arriba."
ristretto,Ristretto,2,Ese contador quiere partido: haz treinta pasos fuertes y vuelve al ritmo base.
ristretto,Ristretto,3,"Aprieta el paso durante una canción; revisa el marcador al final, no antes."
ristretto,Ristretto,4,"Si estabas sentado, arriba: dos minutos y ya ganaste la primera jugada."
ristretto,Ristretto,5,"Codos doblados, hombros sueltos, mirada al frente: camina como atleta de verdad."
ristretto,Ristretto,6,Divide lo que falta en dos mitades; gana la primera y luego atacamos la segunda.
ristretto,Ristretto,7,"Después del semáforo, nada de enfriarse: recupera ritmo en diez pasos."
ristretto,Ristretto,8,"Camina esa cuadra con zancada firme; hoy se siente entrenamiento, no paseo perdido."
ristretto,Ristretto,9,"Si falta energía, baja velocidad, pero llega a la esquina antes de parar."
ristretto,Ristretto,10,Cierra este bloque con veinte pasos extra; que se note quién tiene carácter.
ristretto,Ristretto,11,"Cuando quieras parar, dame diez pasos más y decide como capitán."
ristretto,Ristretto,12,Pon cinco minutos en el reloj: juega ese tramo sin mirar el marcador.
ristretto,Ristretto,13,"Busca una recta corta y úsala como tramo fuerte, con técnica limpia."
ristretto,Ristretto,14,"Respira dos veces antes de acelerar; potencia con cabeza, Ristretto."
ristretto,Ristretto,15,"Postura de campeón: pecho arriba, mandíbula suelta, pisada firme."
ristretto,Ristretto,16,Marca un destino visible y ve directo; nada de distraerse a mitad de jugada.
ristretto,Ristretto,17,"Baja un cambio si pierdes aire, pero conserva el paso hasta la próxima sombra."
ristretto,Ristretto,18,Diez pasos firmes después de cada giro; el ritmo no se regala.
ristretto,Ristretto,19,Tres minutos sin revisar el número; deja que el marcador sude contigo.
ristretto,Ristretto,20,Cierra la cuadra con brazos activos y sonrisa brava: eso ya huele a victoria.
ristretto,Ristretto,21,"¡Vamos, capitán!: elige una meta visible y llega sin aflojar. Me gusta esa garra! cada bloque ganado cuenta."
ristretto,Ristretto,22,El marcador está vivo! divide el objetivo en dos mini victorias; esto tiene energía de cierre. tu yo de mañana va a aplaudir.
